Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
주식-BOT,@TtwStockBot,2024-10-08T09:27:32.000Z,False,엔비디아는 130 간다혔자누 ㅋㅋ#thdtjsdn #message #주식 #NASDAQ #BTC,0,0,0,0,"['#thdtjsdn', '#message', '#주식', '#NASDAQ', '#BTC']",[],[],https://pbs.twimg.com/profile_images/1580880070880612352/l6L6oHob_normal.jpg,https://x.com/TtwStockBot/status/1843584001287856283,tweet_id:1843584001287856283
Lütfiye İnal,@LutfiyeInal,2024-10-08T09:27:28.000Z,True,#ASELS #X30YVADE #dxy #btcusdt #XAGUSD #GÜMÜŞ #ONS  #XGMYO #ALTIN #BAKIR #GÜMÜŞ #BTC #BIST #BIST100 #ENDEKS #XU100 #XSUUSD #BORSA #XGIDA #XELKT #XSPOR #XTUMY #XBANK #XHARZ #natgas #brent #petrol #ukoil #nasdag #XTAST #VİOP #VİOP30,0,0,0,0,"['#ASELS', '#X30YVADE', '#dxy', '#btcusdt', '#XAGUSD', '#GÜMÜŞ', '#ONS', '#XGMYO', '#ALTIN', '#BAKIR', '#GÜMÜŞ', '#BTC', '#BIST', '#BIST100', '#ENDEKS', '#XU100', '#XSUUSD', '#BORSA', '#XGIDA', '#XELKT', '#XSPOR', '#XTUMY', '#XBANK', '#XHARZ', '#natgas', '#brent', '#petrol', '#ukoil', '#nasdag', '#XTAST', '#VİOP', '#VİOP30']",[],[],https://pbs.twimg.com/profile_images/1810814173531578368/pgghU686_normal.jpg,https://x.com/LutfiyeInal/status/1843583985261392178,tweet_id:1843583985261392178
wUKONG,@WrappedWukong,2024-10-08T09:27:23.000Z,False,even blackrock is down bad #eth #btc #usdc #bitcoin #ethereum,0,0,0,1,"['#eth', '#btc', '#usdc', '#bitcoin', '#ethereum']",[],[],https://pbs.twimg.com/profile_images/1824784711396265984/BETTmxAI_normal.jpg,https://x.com/WrappedWukong/status/1843583961261584611,tweet_id:1843583961261584611
galaxykripto,@galaxykripto,2024-10-08T09:27:15.000Z,False,#turbo #bel #unfi #ftm #bnb  long işlemlerine başladık. #btc yukarı gidebilir,0,0,0,0,"['#turbo', '#bel', '#unfi', '#ftm', '#bnb', '#btc']",[],[],https://pbs.twimg.com/profile_images/1833612013437603841/s4OmadL8_normal.jpg,https://x.com/galaxykripto/status/1843583927509750242,tweet_id:1843583927509750242
CryptoWhale™,@SCryptowhale,2024-10-08T09:27:12.000Z,True, #BTC La viuda de Len Sassaman negó las especulaciones de que Len Sassaman fuera Satoshi Nakamoto. #satoshi dlnoticias,0,0,0,0,"['#BTC', '#satoshi']",[],"['\\U0001f3ac', '\\U0001f37f']",https://pbs.twimg.com/profile_images/1815670442415333376/AGqgFZFM_normal.jpg,https://x.com/SCryptowhale/status/1843583916520641004,tweet_id:1843583916520641004
Lütfiye İnal,@LutfiyeInal,2024-10-08T09:27:10.000Z,True,#ALTNY #X30YVADE #dxy #btcusdt #XAGUSD #GÜMÜŞ #ONS  #XGMYO #ALTIN #BAKIR #GÜMÜŞ #BTC #BIST #BIST100 #ENDEKS #XU100 #XSUUSD #BORSA #XGIDA #XELKT #XSPOR #XTUMY #XBANK #XHARZ #natgas #brent #petrol #ukoil #nasdag #XTAST #VİOP #VİOP30,0,0,0,0,"['#ALTNY', '#X30YVADE', '#dxy', '#btcusdt', '#XAGUSD', '#GÜMÜŞ', '#ONS', '#XGMYO', '#ALTIN', '#BAKIR', '#GÜMÜŞ', '#BTC', '#BIST', '#BIST100', '#ENDEKS', '#XU100', '#XSUUSD', '#BORSA', '#XGIDA', '#XELKT', '#XSPOR', '#XTUMY', '#XBANK', '#XHARZ', '#natgas', '#brent', '#petrol', '#ukoil', '#nasdag', '#XTAST', '#VİOP', '#VİOP30']",[],[],https://pbs.twimg.com/profile_images/1810814173531578368/pgghU686_normal.jpg,https://x.com/LutfiyeInal/status/1843583908941836489,tweet_id:1843583908941836489
Buy with Bitcoin,@youHODL_,2024-10-08T09:27:09.000Z,False,"Our valued client, “Visit Barbados”, has asked us to sell their premium #domain http://SATOSHI.com.

0.1 #BTC.

Message us, if you’re interested.#Bitcoin                            #Satoshi#domainname",0,0,0,0,"['#domain', '#BTC', '#Bitcoin', '#Satoshi', '#domainname', '']",[],[],https://pbs.twimg.com/profile_images/1635274510898450439/WgPkEECB_normal.jpg,https://x.com/youHODL_/status/1843583903057223821,tweet_id:1843583903057223821
주식-BOT,@TtwStockBot,2024-10-08T09:27:06.000Z,False,나선 60분봉 뚫을라나 #thdtjsdn #message #주식 #NASDAQ #BTC,0,0,0,1,"['#thdtjsdn', '#message', '#주식', '#NASDAQ', '#BTC']",[],[],https://pbs.twimg.com/profile_images/1580880070880612352/l6L6oHob_normal.jpg,https://x.com/TtwStockBot/status/1843583893301264684,tweet_id:1843583893301264684
Cody Brian Cole,@Coleracin77,2024-10-08T09:27:05.000Z,False," LONG : #BYBIT | #BTCUSDT | $BTC | #BTCUSD | #BTC by Current market analysis: BTC faces resistance at 62435.74, while key support levels are at 61796.49 and 61558. Join: https://t.me/cryptochartmonkie?utm_source=dlvr.it&utm_medium=twitter…#cryptocurrency #crypto",0,0,0,1,"['#BYBIT', '#BTCUSDT', '#BTCUSD', '#BTC', '#cryptocurrency', '#crypto']",['@Team_XRP_'],"['\\U0001f4c8', '\\U0001f4a1']",https://pbs.twimg.com/profile_images/1832844337065115648/9uwlrzYh_normal.jpg,https://x.com/Coleracin77/status/1843583885994782942,tweet_id:1843583885994782942
Lütfiye İnal,@LutfiyeInal,2024-10-08T09:26:53.000Z,True,#YAPRK #X30YVADE #dxy #btcusdt #XAGUSD #GÜMÜŞ #ONS  #XGMYO #ALTIN #BAKIR #GÜMÜŞ #BTC #BIST #BIST100 #ENDEKS #XU100 #XSUUSD #BORSA #XGIDA #XELKT #XSPOR #XTUMY #XBANK #XHARZ #natgas #brent #petrol #ukoil #nasdag #XTAST #VİOP #VİOP30,0,0,0,5,"['#YAPRK', '#X30YVADE', '#dxy', '#btcusdt', '#XAGUSD', '#GÜMÜŞ', '#ONS', '#XGMYO', '#ALTIN', '#BAKIR', '#GÜMÜŞ', '#BTC', '#BIST', '#BIST100', '#ENDEKS', '#XU100', '#XSUUSD', '#BORSA', '#XGIDA', '#XELKT', '#XSPOR', '#XTUMY', '#XBANK', '#XHARZ', '#natgas', '#brent', '#petrol', '#ukoil', '#nasdag', '#XTAST', '#VİOP', '#VİOP30']",[],[],https://pbs.twimg.com/profile_images/1810814173531578368/pgghU686_normal.jpg,https://x.com/LutfiyeInal/status/1843583836522983815,tweet_id:1843583836522983815
crypto_buddy,@crypto_buddyy,2024-10-08T09:26:44.000Z,False,"$btc 
Exactly played#btc #crypto #socks #nifty #neiro #inj #fet #tao",0,0,0,5,"['#btc', '#crypto', '#socks', '#nifty', '#neiro', '#inj', '#fet', '#tao']",[],[],https://pbs.twimg.com/profile_images/1841883656551333888/NkJP14XZ_normal.jpg,https://x.com/crypto_buddyy/status/1843583798447092048,tweet_id:1843583798447092048
