Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Tim McNamara,@timClicks,2023-02-27T20:15:38.000Z,True,Have you tried DDD? Deadline-driven development,57,141,1K,56K,[],[],[],https://pbs.twimg.com/profile_images/1666154869059911681/2UMbAEai_normal.jpg,https://x.com/timClicks/status/1630300646535749634,tweet_id:1630300646535749634
Chrono Cross,@chronogame,2022-02-12T14:31:00.000Z,False,Chrono Cross: The Radical Dreams Edition has the following enhancements: Ability to change game speed Ability to turn random battles off Auto-battle mode and battle boosts Soundtrack refined by Yasunori Mitsuda Updated illustrations and improved character models,264,407,2.2K,0,[],[],"['\\u23e9', '\\u2694\\ufe0f', '\\U0001f916', '\\U0001f3bc', '\\U0001f3a8']",https://pbs.twimg.com/profile_images/1491547444001312768/Vz_5faKC_normal.png,https://x.com/chronogame/status/1492506527650910212,tweet_id:1492506527650910212
Benjamin Alvarez,@BenjAlvarez1,2021-12-18T22:20:23.000Z,False,"Estos son mis principios. 
Si no les gustan, tengo otros.",159,1.7K,4.8K,0,[],[],[],https://pbs.twimg.com/profile_images/1626535261977907204/IgIddZQA_normal.jpg,https://x.com/BenjAlvarez1/status/1472330931428020231,tweet_id:1472330931428020231
joseph petito,@josephpetito,2021-09-19T22:21:30.000Z,True,#GABBYPETITO  she touched the world.,11K,34K,147K,0,['#GABBYPETITO'],[],['\\U0001f494'],https://pbs.twimg.com/profile_images/1708150810624901120/xZZyhwFp_normal.jpg,https://x.com/josephpetito/status/1439716307268739072,tweet_id:1439716307268739072
Alberto M. Lagos T.,@nexon,2021-04-02T20:16:08.000Z,False,Que patetico . Sigue culpando a la gente por la caga que tiene su gobierno por la pandemia. ,0,0,0,0,[],['@DrEnriqueParis'],['\\U0001f602'],https://pbs.twimg.com/profile_images/797822493763444736/GNULxiKE_normal.jpg,https://x.com/nexon/status/1378078816837455878,tweet_id:1378078816837455878
Alberto M. Lagos T.,@nexon,2021-03-03T10:38:06.000Z,False,"Gracias al fiscal ayer, me di cuenta de que el Tío-Abuelo al parecer no tiene nada que ver en el asunto.",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/797822493763444736/GNULxiKE_normal.jpg,https://x.com/nexon/status/1367061716962578434,tweet_id:1367061716962578434
Alberto M. Lagos T.,@nexon,2020-12-30T15:50:38.000Z,False,El payaso del año.  ,0,0,0,0,[],['@DrEnriqueParis'],['\\U0001f389'],https://pbs.twimg.com/profile_images/797822493763444736/GNULxiKE_normal.jpg,https://x.com/nexon/status/1344309932145913856,tweet_id:1344309932145913856
Alberto M. Lagos T.,@nexon,2020-12-29T22:04:06.000Z,True,Aquí tienes . Incompetente.,0,0,0,0,[],['@allamand'],[],https://pbs.twimg.com/profile_images/797822493763444736/GNULxiKE_normal.jpg,https://x.com/nexon/status/1344041530382823426,tweet_id:1344041530382823426
Paw,@luckymarmot,2020-11-27T14:24:05.000Z,False,Paw · The most advanced API tool for Mac (REST & GraphQL) http://paw.cloud · Our insane 2020 Black Friday offer: Retweet this and get a free Paw license (worth $49.99)  Still want to support us? Buy 50% off from our website ,184,5.6K,1.1K,0,[],[],"['\\U0001f4b8', '\\U0001f499']",https://pbs.twimg.com/profile_images/1592624525518245889/2oAKFLZS_normal.jpg,https://x.com/luckymarmot/status/1332329351795372036,tweet_id:1332329351795372036
rayén CONOCÍ A LOUIS CTM,@cncowithbau,2020-10-03T02:05:35.000Z,True,"weon está clarito en el video, LO EMPUJARON",1,7,1,0,[],[],[],https://pbs.twimg.com/profile_images/1805365774074224640/kllZXxR6_normal.jpg,https://x.com/cncowithbau/status/1312212168419405824,tweet_id:1312212168419405824
EL PAÍS,@el_pais,2020-02-02T13:20:00.000Z,True,"Dos jóvenes madrileñas hallan 50 cartas en la basura y reconstruyen la historia de un azafato de Iberia que viajó en los años 50, 60 y 70 y murió de manera trágica en Sevilla. Han localizado a su familia, que vive en San Sebastián:",13,166,657,0,[],[],[],https://pbs.twimg.com/profile_images/1236548818402971648/F-pcFaq6_normal.jpg,https://x.com/el_pais/status/1223959251552559109,tweet_id:1223959251552559109
Inc.,@Inc,2020-01-23T22:15:37.000Z,True,"22 Years Ago, Steve Jobs Said 1 Thing Separates People Who Achieve From Those Who Only Dream http://on.inc.com/ONFcn4M",0,58,143,0,[],[],[],https://pbs.twimg.com/profile_images/1611131974160089099/y-e3qQ_Y_normal.jpg,https://x.com/Inc/status/1220470167697838081,tweet_id:1220470167697838081
PSPDFKit,@PSPDFKit,2019-12-18T15:45:01.000Z,True," Today, we’ll explore std::optional, which is a class template added in C++17 standard that has become a big part of the PSPDFKit codebase. We look to the future and review the proposed additions to std::optional that will make it into C++20.",0,5,10,0,[],[],['\\U0001f52e'],https://pbs.twimg.com/profile_images/1375123646994391048/bEmqVnW7_normal.jpg,https://x.com/PSPDFKit/status/1207325904126562311,tweet_id:1207325904126562311
Alberto M. Lagos T.,@nexon,2019-12-10T13:34:10.000Z,False,Wasn’t aware that ObjC lightweight generics bridge to swift . Limit bridging but still.,0,0,0,0,[],[],['\\U0001f632'],https://pbs.twimg.com/profile_images/797822493763444736/GNULxiKE_normal.jpg,https://x.com/nexon/status/1204393873679831040,tweet_id:1204393873679831040
Alberto M. Lagos T.,@nexon,2019-12-09T14:29:20.000Z,False,"Lo único malo con crear checkers para clang analyzer es que tienes que reconstruir tu toolchain específica para Xcode y para la versión de swift que ocupas (incl. LLVM, Clang, etc). Lo cual es un parto.  Pero el beneficio es weno",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/797822493763444736/GNULxiKE_normal.jpg,https://x.com/nexon/status/1204045367173627904,tweet_id:1204045367173627904
