Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Galaxy Digital,@GalaxyDigital,2019-04-03T19:18:06.000Z,False,"Happy Volunteer Month! How are you showing appreciation for, or raising awareness of the amazing impact your volunteers have on your community? Share your ideas in our forum, https://bit.ly/2FWPiq9, or tag us for a chance to be featured. #volunteermonth",20,1,23,0,['#volunteermonth'],[],[],https://pbs.twimg.com/profile_images/1037802927430283264/Yxadwzsm_normal.jpg,https://x.com/GalaxyDigital/status/1113521070227828741,tweet_id:1113521070227828741
Volunteer Center SJ,@SJVolunteers,2019-06-04T16:05:06.000Z,False,"Volunteer tracking made easy. All you gotta do is download  's new app, Volunteer Get Connected. Track all your Volunteer Center hours in one place",4,3,10,0,[],['@GalaxyDigital'],[],https://pbs.twimg.com/profile_images/1320427965973471232/Z13PR_KL_normal.jpg,https://x.com/SJVolunteers/status/1135940547917598722,tweet_id:1135940547917598722
Galaxy Digital,@GalaxyDigital,2019-04-01T18:46:10.000Z,False,"Happy Monday, everyone! We have an exciting release coming your way, soon. Check your inbox for more. #NotAprilFools",6,0,14,0,['#NotAprilFools'],[],[],https://pbs.twimg.com/profile_images/1037802927430283264/Yxadwzsm_normal.jpg,https://x.com/GalaxyDigital/status/1112788261574004737,tweet_id:1112788261574004737
Galaxy Digital,@GalaxyDigital,2019-03-27T20:45:56.000Z,False,"Here's a snapshot of the Galaxy team representing at the Habitat National Conference this week in Atlanta, GA. If you're in attendance, be sure to stop by and see Ollie, Ali and JP at booth 343. There may even be some free swag up for grabs!",3,1,5,0,[],[],[],https://pbs.twimg.com/profile_images/1037802927430283264/Yxadwzsm_normal.jpg,https://x.com/GalaxyDigital/status/1111006461709168642,tweet_id:1111006461709168642
Galaxy Digital,@GalaxyDigital,2019-03-22T16:53:34.000Z,False,"Happy first Friday of Spring! Yesterday, our new free webinar series, ""A Closer Look"", filled up in a matter of minutes. Check your inbox, and here, for more news on Michelle's next session. You won't want to miss it!",3,0,5,0,[],[],[],https://pbs.twimg.com/profile_images/1037802927430283264/Yxadwzsm_normal.jpg,https://x.com/GalaxyDigital/status/1109136044740538368,tweet_id:1109136044740538368
Volunteer Center SJ,@SJVolunteers,2019-06-04T16:05:06.000Z,False,"Volunteer tracking made easy. All you gotta do is download  's new app, Volunteer Get Connected. Track all your Volunteer Center hours in one place",4,3,10,0,[],['@GalaxyDigital'],[],https://pbs.twimg.com/profile_images/1320427965973471232/Z13PR_KL_normal.jpg,https://x.com/SJVolunteers/status/1135940547917598722,tweet_id:1135940547917598722
Galaxy Digital,@GalaxyDigital,2019-04-01T18:46:10.000Z,False,"Happy Monday, everyone! We have an exciting release coming your way, soon. Check your inbox for more. #NotAprilFools",6,0,14,0,['#NotAprilFools'],[],[],https://pbs.twimg.com/profile_images/1037802927430283264/Yxadwzsm_normal.jpg,https://x.com/GalaxyDigital/status/1112788261574004737,tweet_id:1112788261574004737
Galaxy Digital,@GalaxyDigital,2019-03-15T20:03:41.000Z,False,Company Culture Corner: Some of our Galaxy Digital family enjoyed a reception for Highland Circle members. This group is a network of young professionals seeking ways to make positive and long-lasting change in our community in partnership with our local United Way. #payitforward,4,0,3,0,['#payitforward'],[],[],https://pbs.twimg.com/profile_images/1037802927430283264/Yxadwzsm_normal.jpg,https://x.com/GalaxyDigital/status/1106647172957831169,tweet_id:1106647172957831169
WildApricot,@WildApricot,2019-01-26T00:16:05.000Z,False,Our February webinar roundup is out! Which webinar are you going to watch this month? https://wildapricot.com/blogs/newsblog/2019/01/25/february-2019-webinars…,5,8,8,0,[],[],[],https://pbs.twimg.com/profile_images/1441105056879710213/NcnfaY2C_normal.jpg,https://x.com/WildApricot/status/1088953687978913792,tweet_id:1088953687978913792
America's Service Commissions,@statecommission,2019-03-04T21:56:45.000Z,False,"Registration is open for the 2019 National Service Regional Training Conferences hosted by , #ServeIdaho , & #PennSERVE . Learn more: https://bit.ly/2Ujmk8H",3,4,7,0,"['#ServeIdaho', '#PennSERVE']","['@ServeMN', '@IdahoJob', '@PALaborIndustry']",[],https://pbs.twimg.com/profile_images/1696587786017476608/GKk--ewo_normal.jpg,https://x.com/statecommission/status/1102689361127190532,tweet_id:1102689361127190532
Galaxy Digital,@GalaxyDigital,2019-03-04T18:14:00.000Z,False,Monday is a perfect day for a little something new! Check your inbox for a video tour of some of the newest management features available today on all Connect sites.,0,0,2,0,[],[],[],https://pbs.twimg.com/profile_images/1037802927430283264/Yxadwzsm_normal.jpg,https://x.com/GalaxyDigital/status/1102633305650970625,tweet_id:1102633305650970625
